timestamp,wx,wy,wz
2026-03-29 14:24:28.464000000,0.008934,-0.006338,-0.003589
2026-03-29 14:24:28.562000000,0.004887,-0.001985,-0.000916
2026-03-29 14:24:28.660000000,0.00168,0.00481,0.001756
2026-03-29 14:24:28.759000000,-7.6e-05,0.001145,0.001298
2026-03-29 14:24:28.857000000,-0.001145,-0.000305,0.000687
2026-03-29 14:24:28.956000000,-0.000534,-0.007559,-0.00336
2026-03-29 14:24:29.054000000,-0.002672,-0.00336,-0.001145
2026-03-29 14:24:29.152000000,-0.000534,0.000764,-7.6e-05
2026-03-29 14:24:29.251000000,-0.002138,-0.001069,0.000229
2026-03-29 14:24:29.349000000,-0.001145,-0.006414,-0.000764
2026-03-29 14:24:29.448000000,-0.001756,-0.003818,-0.001145
2026-03-29 14:24:29.546000000,-0.001451,0.000764,7.6e-05
2026-03-29 14:24:29.645000000,-0.00168,-0.001298,-0.0
2026-03-29 14:24:29.743000000,-0.001603,-0.006032,-0.001298
2026-03-29 14:24:29.841000000,-0.001985,-0.003818,-0.00084
2026-03-29 14:24:29.940000000,-0.001145,0.000382,-0.000229
2026-03-29 14:24:30.038000000,-0.001145,-0.003971,0.000458
2026-03-29 14:24:30.137000000,-0.000153,0.013897,0.007636
2026-03-29 14:24:30.235000000,-0.005498,-0.023289,-0.013668
2026-03-29 14:24:30.334000000,-0.001145,-0.015577,-0.005039
2026-03-29 14:24:30.432000000,-0.002138,0.015653,0.005803
2026-03-29 14:24:30.530000000,-0.000611,0.004963,0.001069
2026-03-29 14:24:30.629000000,0.000993,-0.010308,-0.002214
2026-03-29 14:24:30.727000000,0.000382,-0.0197,-0.005727
2026-03-29 14:24:30.826000000,-0.002825,0.012981,-0.00084
2026-03-29 14:24:30.924000000,-0.004887,0.052991,0.013133
2026-03-29 14:24:31.022000000,-0.004658,0.026725,-0.003894
2026-03-29 14:24:31.121000000,-0.001374,-0.007865,-0.004581
2026-03-29 14:24:31.219000000,-0.005498,-0.041079,-0.019165
2026-03-29 14:24:31.318000000,-0.004734,-0.002825,-0.007788
2026-03-29 14:24:31.416000000,0.003131,-0.020082,0.001298
2026-03-29 14:24:31.515005127,0.007101,-0.065055,-0.005039
2026-03-29 14:24:31.613000000,-0.00336,-0.067193,-0.030466
2026-03-29 14:24:31.711000000,-0.000229,0.100179,0.032757
2026-03-29 14:24:31.810000000,-0.008017,0.108273,0.032146
2026-03-29 14:24:31.908000000,-0.0,-0.010613,0.003512
2026-03-29 14:24:32.007000000,0.006643,-0.112014,-0.021914
2026-03-29 14:24:32.105000000,-0.003894,-0.089336,-0.017944
2026-03-29 14:24:32.204000000,0.001451,0.014889,0.001527
2026-03-29 14:24:32.302000000,-0.001985,0.022601,0.008323
2026-03-29 14:24:32.400000000,0.001909,-0.001603,-0.001222
2026-03-29 14:24:32.499000000,-0.000687,-0.004429,7.6e-05
2026-03-29 14:24:32.596994873,-0.001451,0.00168,0.001145
2026-03-29 14:24:32.696000000,-0.003741,0.017104,0.006948
2026-03-29 14:24:32.794000000,-0.00481,-0.018784,-0.010232
2026-03-29 14:24:32.892000000,-0.00084,0.043217,0.020005
2026-03-29 14:24:32.991000000,0.000916,-0.027641,-0.005116
2026-03-29 14:24:33.089000000,0.00252,-0.042072,-0.017256
2026-03-29 14:24:33.188000000,0.002291,0.03184,0.015042
2026-03-29 14:24:33.286000000,0.002825,0.009468,0.002367
2026-03-29 14:24:33.385000000,-0.001451,-0.018173,-0.010919
2026-03-29 14:24:33.483000000,-0.005574,-0.003131,-0.002902
2026-03-29 14:24:33.581000000,0.000611,0.00985,0.006032
2026-03-29 14:24:33.680000000,-0.004505,0.006567,0.0042
2026-03-29 14:24:33.778000000,7.6e-05,-0.023136,-0.006567
2026-03-29 14:24:33.877000000,0.014431,-0.073913,-0.04085
2026-03-29 14:24:33.975000000,0.020998,0.0155,0.026648
2026-03-29 14:24:34.074000000,-0.003741,0.04986,0.019013
2026-03-29 14:24:34.172000000,-0.010995,0.011759,-0.004734
2026-03-29 14:24:34.270000000,-0.003818,-0.05238,-0.0197
2026-03-29 14:24:34.369000000,0.001145,-0.057725,-0.015882
2026-03-29 14:24:34.467000000,-0.003589,0.023518,0.005956
2026-03-29 14:24:34.566000000,-0.002596,0.053678,0.020082
2026-03-29 14:24:34.664000000,-0.004047,-0.018478,-0.005574
2026-03-29 14:24:34.762000000,-0.001603,-0.066124,-0.020845
2026-03-29 14:24:34.861000000,-0.005421,-0.017638,-0.007101
