timestamp,azimuth,pitch,roll
2026-03-29 14:24:28.435000000,-120.630471,-34.246145,-18.70231
2026-03-29 14:24:28.533000000,-120.854556,-34.13692,-18.712973
2026-03-29 14:24:28.632000000,-120.936436,-34.108445,-18.666041
2026-03-29 14:24:28.730000000,-120.929852,-34.114155,-18.654831
2026-03-29 14:24:28.827994873,-120.891042,-34.123366,-18.695819
2026-03-29 14:24:28.927000000,-120.901493,-34.128143,-18.652852
2026-03-29 14:24:29.025000000,-120.920412,-34.125534,-18.624649
2026-03-29 14:24:29.124000000,-120.907817,-34.133744,-18.615015
2026-03-29 14:24:29.222000000,-120.913268,-34.129041,-18.624247
2026-03-29 14:24:29.321000000,-120.878734,-34.136121,-18.665551
2026-03-29 14:24:29.419000000,-120.880661,-34.136254,-18.660934
2026-03-29 14:24:29.517000000,-120.89331,-34.136459,-18.633465
2026-03-29 14:24:29.616000000,-120.887586,-34.138812,-18.635148
2026-03-29 14:24:29.714000000,-120.874513,-34.139099,-18.661316
2026-03-29 14:24:29.813000000,-120.878871,-34.13777,-18.658018
2026-03-29 14:24:29.911000000,-120.898747,-34.13357,-18.634768
2026-03-29 14:24:30.009000000,-120.903788,-34.130667,-18.636963
2026-03-29 14:24:30.108000000,-120.880483,-34.135598,-18.664165
2026-03-29 14:24:30.206000000,-120.922557,-34.125852,-18.618781
2026-03-29 14:24:30.305000000,-120.768318,-34.170221,-18.748161
2026-03-29 14:24:30.403000000,-120.998659,-34.103695,-18.557199
2026-03-29 14:24:30.502000000,-120.993236,-34.109859,-18.541658
2026-03-29 14:24:30.600000000,-120.841018,-34.129878,-18.772881
2026-03-29 14:24:30.698000000,-120.865211,-34.124612,-18.74488
2026-03-29 14:24:30.797000000,-120.99299,-34.09084,-18.624889
2026-03-29 14:24:30.895000000,-121.133623,-34.049521,-18.513248
2026-03-29 14:24:30.994000000,-120.96123,-34.103715,-18.634892
2026-03-29 14:24:31.092000000,-120.81617,-34.136681,-18.795552
2026-03-29 14:24:31.191000000,-121.350332,-33.920557,-18.619919
2026-03-29 14:24:31.289000000,-121.393116,-33.971879,-18.318668
2026-03-29 14:24:31.387000000,-121.190738,-34.151738,-17.966032
2026-03-29 14:24:31.486000000,-120.872983,-34.203648,-18.381523
2026-03-29 14:24:31.584000000,-120.920153,-34.184096,-18.369766
2026-03-29 14:24:31.683000000,-121.118542,-34.191544,-18.312369
2026-03-29 14:24:31.781000000,-120.870006,-34.159825,-18.345827
2026-03-29 14:24:31.879000000,-120.505847,-34.116378,-17.971054
2026-03-29 14:24:31.978000000,-120.577209,-34.113909,-17.941276
2026-03-29 14:24:32.076000000,-120.764015,-34.099921,-18.198044
2026-03-29 14:24:32.175000000,-120.890168,-34.142804,-18.634527
2026-03-29 14:24:32.273000000,-120.822358,-34.176368,-18.671449
2026-03-29 14:24:32.372000000,-120.768905,-34.175227,-18.678404
2026-03-29 14:24:32.470000000,-120.79542,-34.165173,-18.736408
2026-03-29 14:24:32.568000000,-120.810159,-34.147667,-18.683124
2026-03-29 14:24:32.667000000,-120.784369,-34.180141,-18.707378
2026-03-29 14:24:32.765000000,-120.498716,-34.161222,-18.656378
2026-03-29 14:24:32.864000000,-120.510355,-34.246534,-18.871949
2026-03-29 14:24:32.962000000,-119.471647,-34.240247,-18.371588
2026-03-29 14:24:33.061000000,-119.189943,-34.278448,-18.991679
2026-03-29 14:24:33.159000000,-119.481087,-34.188925,-18.633099
2026-03-29 14:24:33.257000000,-119.572679,-34.204348,-18.28354
2026-03-29 14:24:33.356000000,-119.604863,-34.187026,-18.288163
2026-03-29 14:24:33.454000000,-119.467071,-34.261042,-18.268611
2026-03-29 14:24:33.553000000,-119.47804,-34.276051,-18.154277
2026-03-29 14:24:33.651000000,-119.448151,-34.2579,-18.340199
2026-03-29 14:24:33.749000000,-119.44505,-34.225354,-18.532293
2026-03-29 14:24:33.848000000,-119.424519,-34.231426,-18.557846
2026-03-29 14:24:33.946000000,-119.495034,-34.178943,-18.648653
2026-03-29 14:24:34.045000000,-119.046495,-34.386369,-18.791454
2026-03-29 14:24:34.143000000,-118.447775,-34.661076,-19.00062
2026-03-29 14:24:34.242000000,-118.366646,-34.66418,-19.255985
2026-03-29 14:24:34.339994873,-118.427229,-34.640906,-19.202331
2026-03-29 14:24:34.438000000,-118.815976,-34.493381,-18.72781
2026-03-29 14:24:34.537000000,-119.266482,-34.430727,-18.550838
2026-03-29 14:24:34.635000000,-119.074581,-34.396809,-18.414477
2026-03-29 14:24:34.734000000,-119.251742,-34.393032,-18.470906
2026-03-29 14:24:34.832000000,-119.154207,-34.410674,-18.676731
2026-03-29 14:24:34.931000000,-119.000624,-34.413625,-18.766346
2026-03-29 14:24:35.029000000,-119.308023,-34.399175,-18.657135
2026-03-29 14:24:35.127000000,-119.282943,-34.381239,-18.573689
2026-03-29 14:24:35.226000000,-120.04623,-34.33964,-18.652683
2026-03-29 14:24:35.324000000,-120.823929,-34.266246,-18.248551
2026-03-29 14:24:35.423000000,-121.640847,-34.103722,-18.43361
2026-03-29 14:24:35.521000000,-121.737672,-34.058571,-18.406153
2026-03-29 14:24:35.619000000,-121.870177,-33.956026,-18.554667
2026-03-29 14:24:35.718000000,-121.6531,-34.076302,-18.531341
2026-03-29 14:24:35.816000000,-121.596205,-34.09194,-18.59936
2026-03-29 14:24:35.915000000,-121.690571,-34.055282,-18.536852
2026-03-29 14:24:36.013000000,-121.722413,-34.002307,-18.704949
2026-03-29 14:24:36.112000000,-121.485993,-34.116204,-18.761941
2026-03-29 14:24:36.210000000,-121.327915,-34.18356,-18.842667
2026-03-29 14:24:36.308000000,-121.180178,-34.212264,-19.089873
2026-03-29 14:24:36.407000000,-121.296032,-34.176402,-18.960856
2026-03-29 14:24:36.505000000,-121.604101,-34.082518,-18.62403
2026-03-29 14:24:36.604000000,-121.426516,-34.128007,-18.857589
2026-03-29 14:24:36.702000000,-121.914041,-33.930174,-18.565977
2026-03-29 14:24:36.801000000,-121.797969,-33.913242,-18.931961
2026-03-29 14:24:36.899000000,-121.520431,-34.141592,-18.55417
2026-03-29 14:24:36.997000000,-121.163239,-34.301562,-18.691118
2026-03-29 14:24:37.096000000,-121.365918,-34.166047,-18.829515
2026-03-29 14:24:37.194000000,-121.384565,-34.146346,-18.877072
2026-03-29 14:24:37.293000000,-121.427486,-34.129578,-18.847468
2026-03-29 14:24:37.391000000,-121.45258,-34.121327,-18.822775
2026-03-29 14:24:37.489000000,-121.464546,-34.117529,-18.81037
2026-03-29 14:24:37.588000000,-121.330797,-34.164398,-18.928768
2026-03-29 14:24:37.686000000,-121.324063,-34.172406,-18.907176
2026-03-29 14:24:37.785000000,-121.34025,-34.188679,-18.785802
2026-03-29 14:24:37.883000000,-121.225312,-34.221631,-18.92355
2026-03-29 14:24:37.982000000,-121.179154,-34.21988,-19.054561
2026-03-29 14:24:38.080000000,-121.0942,-34.277868,-18.990706
2026-03-29 14:24:38.178000000,-121.647609,-33.956251,-18.779088
2026-03-29 14:24:38.277000000,-121.656543,-34.032722,-18.540482
2026-03-29 14:24:38.375000000,-121.453468,-34.051276,-18.325599
2026-03-29 14:24:38.474000000,-121.838772,-34.047834,-17.787377
2026-03-29 14:24:38.572000000,-122.3072,-33.876707,-17.352992
2026-03-29 14:24:38.671000000,-122.952721,-33.660135,-15.954212
2026-03-29 14:24:38.769000000,-122.66584,-33.435565,-15.697791
2026-03-29 14:24:38.867000000,-122.337991,-33.439995,-14.49569
2026-03-29 14:24:38.966000000,-122.059374,-33.475778,-14.051539
2026-03-29 14:24:39.064000000,-122.182686,-33.312574,-14.002833
2026-03-29 14:24:39.163000000,-121.990512,-33.184368,-14.405858
2026-03-29 14:24:39.261000000,-121.317998,-33.222074,-15.120739
2026-03-29 14:24:39.359000000,-121.208715,-33.392081,-16.400853
2026-03-29 14:24:39.458000000,-121.009929,-33.608342,-17.813893
2026-03-29 14:24:39.556000000,-120.208952,-33.749611,-17.783337
2026-03-29 14:24:39.655000000,-119.818675,-33.585519,-18.255853
2026-03-29 14:24:39.753000000,-120.236068,-33.539203,-17.885702
